timestamp_s,Fx_raw,Fy_raw,Fz_raw,Tx_raw,Ty_raw,Tz_raw,Fx_zeroed,Fy_zeroed,Fz_zeroed,Tx_zeroed,Ty_zeroed,Tz_zeroed,Fx_filtered,Fy_filtered,Fz_filtered,Tx_filtered,Ty_filtered,Tz_filtered,Fx_filtered_zeroed,Fy_filtered_zeroed,Fz_filtered_zeroed,Tx_filtered_zeroed,Ty_filtered_zeroed,Tz_filtered_zeroed
367.292071,-0.422,-1.711,10.582,0.072,0.027,0.019,-0.419,-1.713,10.622,0.071,0.027,0.017,-0.421,-1.708,10.579,0.072,0.028,0.019,-0.418,-1.710,10.619,0.071,0.027,0.017
367.292571,-0.425,-1.698,10.589,0.072,0.027,0.019,-0.422,-1.700,10.629,0.071,0.027,0.017,-0.425,-1.696,10.587,0.072,0.027,0.019,-0.422,-1.698,10.627,0.071,0.027,0.017
367.293071,-0.428,-1.692,10.594,0.071,0.027,0.019,-0.426,-1.695,10.634,0.071,0.027,0.017,-0.428,-1.692,10.592,0.072,0.027,0.019,-0.425,-1.694,10.632,0.071,0.027,0.017
367.293571,-0.431,-1.696,10.601,0.071,0.027,0.019,-0.428,-1.698,10.641,0.071,0.027,0.017,-0.430,-1.696,10.600,0.071,0.027,0.019,-0.428,-1.698,10.639,0.071,0.027,0.017
367.294071,-0.430,-1.704,10.596,0.071,0.027,0.019,-0.427,-1.706,10.635,0.070,0.027,0.017,-0.429,-1.705,10.594,0.071,0.027,0.019,-0.426,-1.708,10.634,0.071,0.027,0.017
367.294571,-0.425,-1.714,10.598,0.071,0.027,0.019,-0.422,-1.716,10.638,0.070,0.027,0.017,-0.424,-1.716,10.597,0.071,0.027,0.019,-0.421,-1.719,10.637,0.070,0.027,0.017
367.295071,-0.425,-1.721,10.602,0.071,0.027,0.019,-0.422,-1.723,10.642,0.070,0.027,0.017,-0.424,-1.722,10.601,0.071,0.027,0.019,-0.421,-1.724,10.640,0.070,0.027,0.017
367.295571,-0.427,-1.713,10.608,0.071,0.027,0.019,-0.424,-1.715,10.648,0.070,0.027,0.017,-0.426,-1.715,10.607,0.071,0.027,0.019,-0.423,-1.717,10.647,0.070,0.027,0.017
367.296072,-0.426,-1.700,10.607,0.071,0.027,0.019,-0.423,-1.702,10.647,0.070,0.026,0.017,-0.425,-1.701,10.606,0.071,0.027,0.019,-0.422,-1.704,10.646,0.070,0.027,0.017
367.296570,-0.425,-1.689,10.603,0.071,0.026,0.019,-0.422,-1.691,10.643,0.070,0.026,0.017,-0.425,-1.692,10.602,0.071,0.027,0.019,-0.422,-1.694,10.642,0.070,0.026,0.017
367.297071,-0.422,-1.691,10.604,0.071,0.026,0.019,-0.419,-1.693,10.644,0.070,0.026,0.017,-0.422,-1.694,10.603,0.071,0.026,0.019,-0.419,-1.696,10.643,0.070,0.026,0.017
367.297571,-0.424,-1.705,10.610,0.071,0.026,0.019,-0.421,-1.707,10.650,0.070,0.026,0.017,-0.424,-1.708,10.609,0.071,0.026,0.019,-0.421,-1.710,10.649,0.070,0.026,0.017
367.298071,-0.422,-1.714,10.616,0.071,0.026,0.019,-0.420,-1.716,10.656,0.070,0.026,0.017,-0.423,-1.716,10.616,0.071,0.026,0.019,-0.420,-1.718,10.656,0.070,0.026,0.017
367.298570,-0.421,-1.714,10.624,0.070,0.026,0.019,-0.419,-1.716,10.664,0.070,0.026,0.017,-0.422,-1.715,10.624,0.071,0.026,0.019,-0.419,-1.717,10.664,0.070,0.026,0.017
367.299071,-0.424,-1.706,10.633,0.070,0.026,0.019,-0.421,-1.708,10.673,0.069,0.026,0.017,-0.425,-1.706,10.632,0.070,0.026,0.019,-0.422,-1.708,10.672,0.070,0.026,0.017
367.299571,-0.429,-1.695,10.633,0.070,0.026,0.019,-0.426,-1.697,10.673,0.069,0.026,0.017,-0.430,-1.694,10.631,0.070,0.026,0.019,-0.427,-1.697,10.671,0.070,0.026,0.017
367.300071,-0.430,-1.685,10.634,0.070,0.026,0.019,-0.427,-1.687,10.674,0.069,0.026,0.017,-0.430,-1.685,10.632,0.070,0.026,0.019,-0.427,-1.687,10.672,0.069,0.026,0.017
367.300571,-0.423,-1.686,10.640,0.070,0.026,0.019,-0.420,-1.688,10.680,0.069,0.025,0.017,-0.424,-1.687,10.638,0.070,0.026,0.019,-0.421,-1.689,10.678,0.069,0.026,0.017
367.301071,-0.416,-1.701,10.632,0.070,0.025,0.019,-0.414,-1.703,10.672,0.069,0.025,0.017,-0.417,-1.702,10.631,0.070,0.026,0.019,-0.414,-1.704,10.670,0.069,0.025,0.017
367.301571,-0.415,-1.707,10.622,0.070,0.025,0.019,-0.412,-1.709,10.662,0.069,0.025,0.017,-0.416,-1.708,10.621,0.070,0.025,0.019,-0.413,-1.710,10.661,0.069,0.025,0.017
367.302071,-0.414,-1.696,10.614,0.070,0.025,0.019,-0.411,-1.698,10.654,0.069,0.025,0.017,-0.415,-1.697,10.614,0.070,0.025,0.019,-0.412,-1.699,10.654,0.069,0.025,0.017
367.302571,-0.413,-1.680,10.622,0.070,0.025,0.019,-0.410,-1.682,10.662,0.069,0.025,0.017,-0.414,-1.681,10.623,0.070,0.025,0.019,-0.412,-1.683,10.663,0.069,0.025,0.017
367.303070,-0.416,-1.675,10.623,0.070,0.025,0.019,-0.413,-1.677,10.663,0.069,0.025,0.017,-0.418,-1.677,10.625,0.070,0.025,0.019,-0.415,-1.679,10.665,0.069,0.025,0.017
367.303571,-0.420,-1.677,10.632,0.070,0.025,0.019,-0.417,-1.679,10.672,0.069,0.025,0.017,-0.422,-1.680,10.633,0.070,0.025,0.019,-0.419,-1.682,10.673,0.069,0.025,0.017
367.304071,-0.420,-1.687,10.634,0.070,0.025,0.019,-0.417,-1.689,10.674,0.069,0.025,0.017,-0.422,-1.690,10.635,0.070,0.025,0.019,-0.419,-1.692,10.675,0.069,0.025,0.017
367.304571,-0.417,-1.699,10.633,0.069,0.025,0.019,-0.414,-1.701,10.673,0.069,0.025,0.017,-0.418,-1.701,10.633,0.070,0.025,0.019,-0.415,-1.703,10.673,0.069,0.025,0.017
