timestamp_s,Fx_raw,Fy_raw,Fz_raw,Tx_raw,Ty_raw,Tz_raw,Fx_zeroed,Fy_zeroed,Fz_zeroed,Tx_zeroed,Ty_zeroed,Tz_zeroed,Fx_filtered,Fy_filtered,Fz_filtered,Tx_filtered,Ty_filtered,Tz_filtered,Fx_filtered_zeroed,Fy_filtered_zeroed,Fz_filtered_zeroed,Tx_filtered_zeroed,Ty_filtered_zeroed,Tz_filtered_zeroed
900.874065,-0.446,-1.670,11.392,0.073,0.027,0.003,0.092,-0.005,-1.841,-0.003,0.002,0.009,-0.446,-1.671,11.407,0.073,0.027,0.003,0.092,-0.006,-1.826,-0.003,0.002,0.009
900.874566,-0.443,-1.676,11.360,0.073,0.027,0.003,0.095,-0.012,-1.873,-0.003,0.002,0.009,-0.443,-1.678,11.378,0.073,0.027,0.003,0.094,-0.013,-1.855,-0.003,0.002,0.009
900.875065,-0.445,-1.677,11.333,0.073,0.027,0.003,0.092,-0.012,-1.900,-0.003,0.002,0.009,-0.446,-1.679,11.355,0.073,0.027,0.003,0.092,-0.014,-1.878,-0.003,0.002,0.009
900.875565,-0.446,-1.679,11.316,0.073,0.027,0.003,0.091,-0.015,-1.917,-0.003,0.002,0.008,-0.447,-1.681,11.340,0.073,0.027,0.003,0.090,-0.017,-1.893,-0.003,0.002,0.009
900.876065,-0.443,-1.688,11.299,0.073,0.027,0.003,0.095,-0.024,-1.934,-0.003,0.002,0.008,-0.444,-1.690,11.325,0.073,0.027,0.003,0.093,-0.026,-1.908,-0.003,0.002,0.008
900.876565,-0.440,-1.690,11.272,0.073,0.027,0.003,0.097,-0.025,-1.961,-0.003,0.002,0.008,-0.442,-1.691,11.299,0.073,0.027,0.003,0.096,-0.026,-1.934,-0.003,0.002,0.008
900.877065,-0.440,-1.683,11.249,0.073,0.027,0.003,0.098,-0.018,-1.983,-0.003,0.002,0.008,-0.441,-1.683,11.276,0.073,0.027,0.003,0.096,-0.019,-1.957,-0.003,0.002,0.008
900.877565,-0.443,-1.682,11.220,0.072,0.027,0.003,0.095,-0.017,-2.013,-0.003,0.002,0.008,-0.444,-1.682,11.245,0.073,0.027,0.003,0.094,-0.017,-1.988,-0.003,0.002,0.008
900.878065,-0.444,-1.687,11.186,0.072,0.027,0.003,0.093,-0.022,-2.047,-0.003,0.001,0.008,-0.445,-1.686,11.210,0.072,0.027,0.003,0.092,-0.022,-2.023,-0.003,0.001,0.008
900.878563,-0.443,-1.688,11.155,0.072,0.027,0.003,0.095,-0.024,-2.078,-0.003,0.001,0.008,-0.443,-1.687,11.177,0.072,0.027,0.003,0.094,-0.022,-2.056,-0.003,0.001,0.008
900.879065,-0.439,-1.680,11.119,0.072,0.027,0.003,0.099,-0.015,-2.114,-0.004,0.001,0.008,-0.439,-1.678,11.141,0.072,0.027,0.003,0.098,-0.014,-2.092,-0.004,0.001,0.008
900.879565,-0.434,-1.673,11.095,0.072,0.027,0.003,0.104,-0.009,-2.138,-0.004,0.001,0.008,-0.434,-1.672,11.117,0.072,0.027,0.003,0.104,-0.008,-2.116,-0.004,0.001,0.008
900.880064,-0.432,-1.686,11.074,0.072,0.027,0.002,0.106,-0.022,-2.158,-0.004,0.001,0.008,-0.432,-1.685,11.096,0.072,0.027,0.003,0.105,-0.020,-2.137,-0.004,0.001,0.008
900.880563,-0.431,-1.698,11.051,0.072,0.027,0.002,0.107,-0.034,-2.182,-0.004,0.001,0.008,-0.432,-1.696,11.072,0.072,0.027,0.002,0.106,-0.032,-2.161,-0.004,0.001,0.008
900.881062,-0.435,-1.693,11.018,0.072,0.027,0.002,0.103,-0.029,-2.215,-0.004,0.001,0.008,-0.436,-1.690,11.039,0.072,0.027,0.002,0.102,-0.026,-2.194,-0.004,0.001,0.008
900.881563,-0.437,-1.687,10.984,0.072,0.026,0.002,0.101,-0.023,-2.249,-0.004,0.001,0.008,-0.438,-1.685,11.007,0.072,0.027,0.002,0.100,-0.020,-2.226,-0.004,0.001,0.008
900.882065,-0.436,-1.693,10.949,0.072,0.026,0.002,0.102,-0.029,-2.284,-0.004,0.001,0.008,-0.437,-1.690,10.974,0.072,0.026,0.002,0.100,-0.026,-2.259,-0.004,0.001,0.008
900.882555,-0.434,-1.696,10.910,0.072,0.026,0.002,0.104,-0.032,-2.323,-0.004,0.001,0.008,-0.435,-1.693,10.936,0.072,0.026,0.002,0.102,-0.029,-2.297,-0.004,0.001,0.008
900.883055,-0.430,-1.679,10.865,0.071,0.026,0.002,0.108,-0.015,-2.368,-0.004,0.001,0.008,-0.431,-1.677,10.894,0.072,0.026,0.002,0.106,-0.013,-2.339,-0.004,0.001,0.008
900.883556,-0.426,-1.666,10.832,0.071,0.026,0.002,0.112,-0.001,-2.401,-0.004,0.001,0.008,-0.428,-1.665,10.863,0.071,0.026,0.002,0.110,-0.000,-2.370,-0.004,0.001,0.008
900.884055,-0.422,-1.667,10.809,0.071,0.026,0.003,0.116,-0.002,-2.424,-0.004,0.001,0.008,-0.424,-1.667,10.842,0.071,0.026,0.002,0.114,-0.003,-2.391,-0.004,0.001,0.008
900.884555,-0.420,-1.669,10.788,0.071,0.026,0.002,0.118,-0.005,-2.445,-0.005,0.001,0.008,-0.422,-1.671,10.821,0.071,0.026,0.002,0.116,-0.007,-2.412,-0.004,0.001,0.008
900.885055,-0.423,-1.677,10.784,0.071,0.026,0.003,0.115,-0.012,-2.449,-0.005,0.001,0.008,-0.425,-1.680,10.815,0.071,0.026,0.002,0.113,-0.015,-2.418,-0.004,0.001,0.008
900.885555,-0.426,-1.693,10.774,0.071,0.026,0.003,0.112,-0.029,-2.459,-0.005,0.001,0.008,-0.428,-1.696,10.802,0.071,0.026,0.002,0.109,-0.031,-2.431,-0.005,0.001,0.008
900.886055,-0.431,-1.714,10.738,0.071,0.026,0.002,0.107,-0.050,-2.495,-0.005,0.001,0.008,-0.432,-1.715,10.761,0.071,0.026,0.002,0.106,-0.051,-2.472,-0.005,0.001,0.008
900.886555,-0.432,-1.720,10.708,0.071,0.026,0.003,0.106,-0.055,-2.525,-0.005,0.001,0.008,-0.432,-1.718,10.727,0.071,0.026,0.002,0.105,-0.054,-2.506,-0.005,0.001,0.008
900.887055,-0.429,-1.704,10.676,0.071,0.026,0.003,0.109,-0.039,-2.557,-0.005,0.001,0.008,-0.428,-1.701,10.692,0.071,0.026,0.003,0.109,-0.036,-2.541,-0.005,0.001,0.008
900.887565,-0.424,-1.691,10.665,0.071,0.026,0.003,0.113,-0.027,-2.568,-0.005,0.001,0.008,-0.423,-1.688,10.678,0.071,0.026,0.003,0.115,-0.023,-2.555,-0.005,0.001,0.008
900.888065,-0.423,-1.701,10.654,0.071,0.026,0.003,0.115,-0.037,-2.579,-0.005,0.001,0.008,-0.421,-1.698,10.665,0.071,0.026,0.003,0.117,-0.033,-2.568,-0.005,0.001,0.008
900.888565,-0.422,-1.705,10.630,0.071,0.026,0.003,0.115,-0.040,-2.603,-0.005,0.001,0.008,-0.421,-1.701,10.639,0.071,0.026,0.003,0.117,-0.037,-2.594,-0.005,0.001,0.008
900.889064,-0.425,-1.687,10.580,0.071,0.026,0.003,0.113,-0.022,-2.653,-0.005,0.001,0.008,-0.423,-1.685,10.589,0.071,0.026,0.003,0.114,-0.020,-2.644,-0.005,0.001,0.008
900.889564,-0.428,-1.681,10.538,0.070,0.026,0.003,0.110,-0.016,-2.695,-0.005,0.001,0.009,-0.427,-1.681,10.549,0.071,0.026,0.003,0.111,-0.016,-2.684,-0.005,0.001,0.008
900.890065,-0.422,-1.690,10.513,0.070,0.026,0.003,0.115,-0.026,-2.720,-0.005,0.001,0.009,-0.421,-1.692,10.527,0.070,0.026,0.003,0.117,-0.027,-2.706,-0.005,0.001,0.009
