Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C2, C3, C4, C7",0402,6,1uF,C52923
"C12, C13, C14, C15, C16, C18, C8",0402,7,10nF,C15195
C17,0402,1,1nF,C1523
C5,0402,1,10uF,C15525
C6,0402,1,220nF,C16772
C9,0402,1,0.1uF,C307331
FB1,0603,1,BLM18PG121SN1D,C14709
R1,0402,1,33R,C25105
"R10, R11, R12, R13, R14, R15, R16, R17, R20, R21, R5, R6, R8, R9",0402,14,100R,C25076
"R18, R2, R3, R4, R7",0402,5,47k,C25792
R19,0402,1,2k,C4109
U1,TQFP-32_5x5mm_P0.5mm,1,ADS131M08IPBSR,C2862610
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,REF5025AIDR,C11341
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,OPA2333AIDR,C38732
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,MST8011AI-22-33E8.192000,C51026284
